field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
equipmentId,yes,integer,no,yes,,100.0%,2146,0,2146,,yes,integer,5,5,0,51862,0.0%,CANDIDATE_KEY
equipmentName,yes,string,no,yes,,100.0%,2146,0,2146,,yes,integer,3,8,0,307100,0.0%,CANDIDATE_KEY;MIXED_FORMAT;NUMERIC_AS_STRING
equipmentYear,yes,integer,yes,no,,100.0%,2146,0,59,,,integer,1,4,0,NULL,19.3%,PLACEHOLDER_NULL;MIXED_FORMAT
equipmentManufacturerId,yes,integer,yes,no,,100.0%,2146,0,125,,,integer,4,5,0,10429,18.8%,PLACEHOLDER_NULL;MIXED_FORMAT
equipmentModel,yes,string,yes,no,,67.7%,1453,693,538,,,string,2,22,0,F250 XL,2.4%,WHITESPACE_NULL;MIXED_FORMAT
equipmentDescription,yes,string,yes,no,,100.0%,2146,0,1395,,,string,12,60,0,BARGE-SHUGART 40' x 10' x 5',2.2%,
serialNumber,yes,string,yes,no,,60.4%,1297,849,1275,,,string,3,39,0,1201975611,0.3%,WHITESPACE_NULL;PLACEHOLDER_NULL;MIXED_FORMAT
vinNumber,yes,string,yes,no,,32.1%,689,1457,689,,,string,17,17,0,3FMCR9BN0TRE34306,0.1%,WHITESPACE_NULL;SPARSE
equipmentGroupId,yes,integer,yes,no,,100.0%,2146,0,209,,,integer,4,4,0,4292,6.0%,
createdTimestampUtc,yes,string,yes,no,,100.0%,2146,0,771,,,date,19,19,0,2026-07-16 17:51:58,0.7%,
companyId,yes,integer,no,yes,,100.0%,2146,0,1,yes,,integer,3,3,0,265,100.0%,CONSTANT
currentTrackVoJobId,yes,integer,yes,no,,100.0%,2146,0,56,,,integer,4,5,0,25018,21.6%,PLACEHOLDER_NULL
isDeleted,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
createdByUserId,yes,integer,yes,no,,100.0%,2146,0,2,,,integer,2,5,0,45,100.0%,
isActive,yes,boolean,yes,no,,100.0%,2146,0,2,,,integer,1,1,0,1,84.8%,TYPE_MISMATCH
isLocationTracked,yes,boolean,yes,no,,100.0%,2146,0,2,,,integer,1,1,0,1,93.4%,TYPE_MISMATCH
isScheduleable,yes,boolean,yes,no,,100.0%,2146,0,2,,,integer,1,1,0,1,98.1%,TYPE_MISMATCH
isScheduleVo,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
