field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,267,,confirm,not established by supplied schema or observations
equipmentGroupId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,267,,confirm,not established by supplied schema or observations
equipmentGroupShortName,string,no,yes,no,,,,confirm,unknown,,,99.6%,266,,confirm,not established by supplied schema or observations
equipmentGroupLongName,string,yes,no,no,,,,confirm,unknown,,,99.6%,235,,confirm,not established by supplied schema or observations
equipmentGroupDescription,string,yes,no,no,,,,confirm,unknown,,,99.6%,235,,confirm,not established by supplied schema or observations
companyId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
equipmentClassId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,58,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
equipmentGroupColor,string,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
