field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
laborCodeId,yes,integer,no,yes,,100.0%,761,0,761,,yes,integer,4,4,0,1237,0.1%,CANDIDATE_KEY
jobId,yes,integer,yes,no,,100.0%,761,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
createdTimestampUtc,yes,string,yes,no,,100.0%,761,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
laborCode,yes,string,no,yes,100,100.0%,761,0,761,,yes,string,6,13,0,001.CR,0.1%,CANDIDATE_KEY
description,yes,string,no,yes,100,99.5%,757,4,404,,,string,7,30,0,Laborer Special Rate,5.2%,REQUIRED_BUT_EMPTY
note,yes,string,yes,no,100,100.0%,761,0,5,,,string,4,5,0,NULL,99.5%,PLACEHOLDER_NULL
accountingCode,yes,string,yes,no,100,100.0%,761,0,125,,,string,2,6,0,FM,4.7%,
estimatingCode,yes,string,yes,no,100,100.0%,761,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
isActive,yes,boolean,no,yes,,100.0%,761,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
jobRegularChargeRatePerHour,yes,number,yes,no,,100.0%,761,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
jobOvertimeChargeRatePerHour,yes,number,yes,no,,100.0%,761,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
jobDoubleTimeChargeRatePerHour,yes,number,yes,no,,100.0%,761,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,761,0,761,,yes,uuid,36,36,0,1a8e542d-4ce7-42a9-a4b5-359fa253cf39,0.1%,CANDIDATE_KEY
